Sensor_Position	Light_Intensity
8.81406	-0.01937
9.37204	-0.01905
9.75436	-0.02259
9.94036	-0.02308
10.56034	-0.02163
10.96333	-0.01889
11.16999	-0.01712
11.6453	-0.01857
11.9553	-0.01599
12.07929	-0.0234
12.76127	-0.01905
13.12293	-0.02098
13.24692	-0.01889
13.77391	-0.01615
14.13556	-0.0139
14.24922	-0.02243
14.77621	-0.01712
15.1482	-0.01502
15.29286	-0.02098
15.70618	-0.01889
16.03684	-0.01647
16.17116	-0.01599
16.56382	-0.01535
16.82214	-0.01357
16.95647	-0.01857
17.32846	-0.01245
17.55579	-0.0081
17.70045	-0.01325
18.19643	-0.01228
18.49609	-0.01132
18.59942	-0.00794
19.06441	0.00334
19.38473	0.00656
19.70505	0.023
20.44903	0.06633
20.82102	0.11257
21.17234	0.17958
21.69933	0.42944
21.99898	0.61986
22.23664	0.90871
22.76363	1.63542
23.11495	2.05492
23.43527	2.35247
24.02425	2.3979
24.35491	2.25243
24.61324	2.03479
24.99556	1.65685
25.26422	1.41794
25.37788	1.30855
25.73953	1.00199
25.96686	0.84878
26.03919	0.76888
26.39051	0.60279
26.61784	0.50999
26.72117	0.47262
27.11382	0.36807
27.36182	0.31394
27.48581	0.28156
27.93013	0.21889
28.24012	0.18313
28.38478	0.17169
28.80844	0.1348
29.06676	0.10838
29.25276	0.10435
29.70741	0.07874
29.99673	0.06939
30.16206	0.05828
30.64771	0.04378
30.99904	0.03685
31.1747	0.04056
31.66035	0.02863
32.09434	0.02622
32.27	0.01865
32.87965	0.01381
33.3033	0.01591
33.46863	0.0056
34.06794	0.00366
34.4296	0.00495
34.63626	0.00689
35.20457	0.00173
35.54556	-0.00359
35.75222	-0.00181
36.32054	-0.00036
36.67186	-0.00359
36.85785	0.0006
37.4055	-0.00713
37.80849	-0.01196
38.02549	-0.00729
38.61447	-0.01196
39.07945	-0.01132
39.29645	-0.00777
39.97842	-0.01035
40.42274	-0.00842
40.65007	-0.00407
41.09439	-0.01019
41.43538	-0.01212
41.58004	-0.00729
42.08636	-0.00874
42.46868	-0.00842
42.59268	-0.00745
43.18166	-0.00906
43.58465	-0.0089
43.74997	-0.00439
44.33896	-0.01438
44.76261	-0.01293
44.93827	-0.01035
45.50659	-0.01116
45.94057	-0.01164
46.09557	-0.01019
46.66388	-0.00971
47.1392	-0.01228
47.34586	-0.01067
48.00718	-0.01196
48.53416	-0.01341
48.76149	-0.00697
49.46413	-0.01164
50.00145	-0.0118
50.25977	-0.0118
51.02441	-0.00681
51.43774	-0.01116
51.69606	-0.0118
52.45037	-0.01228
52.91536	-0.01373
53.18401	-0.00761
53.93832	-0.00971
54.43431	-0.00729
54.67197	-0.01019
55.38495	-0.01212
55.8706	-0.0147
56.10826	-0.011
56.76957	-0.0089
57.25522	-0.00729
57.50321	-0.00987
58.21619	-0.01228
58.71218	-0.01003
58.92917	-0.01357
59.68348	-0.01212
60.1278	-0.01148
60.38612	-0.01035
61.0681	-0.00955
61.61575	-0.01551
61.89474	-0.00987
62.56639	-0.00922
63.01071	-0.01116
63.26903	-0.00745
63.92001	-0.00729
64.37467	-0.00922
64.63299	-0.01245
65.30464	-0.00987
65.69729	-0.00938
65.95562	-0.00842
66.6066	-0.00777
67.08192	-0.01132
67.32991	-0.00794
68.03255	-0.00568
68.50787	-0.00987
68.7662	-0.00938
69.37584	-0.00761
69.82016	-0.00938
70.04749	-0.00745
70.59514	-0.01035
71.03946	-0.00777
71.29779	-0.00858
71.96943	-0.00906
72.43442	-0.01422
72.68241	-0.01261
73.37472	-0.01003
73.81904	-0.01599
74.06703	-0.00665
74.74901	-0.00955
75.26566	-0.01373
75.49299	-0.01245
76.2163	-0.00955
76.59862	-0.00326
76.92928	-0.006
77.69392	0.00431
78.24157	0.01204
78.56189	0.01607
79.36787	0.02428
79.86385	0.02896
80.15318	0.03733
80.80416	0.03041
81.20714	0.02622
81.4138	0.01365
82.08545	0.00979
82.51944	0.01172
82.7261	0.00608
83.41841	0.00334
83.84206	0.00205
84.05906	0.00028
84.78237	0.00205
85.28868	-0.00391
85.54701	0.00028
86.32198	-0.00004
86.75597	-0.00294
87.07629	-0.006
87.87194	-0.006
88.38859	-0.00471
88.73991	-0.0081
89.48389	-0.00777
89.96954	-0.00101
90.24853	-0.00568
