Sensor_Position 	Light_Intensity
24.08625	2.45816
24.56157	2.05315
24.85089	1.79781
24.94389	1.67683
25.31588	1.35447
25.55354	1.1307
25.64654	1.04226
26.00819	0.79739
26.27685	0.6698
26.36985	0.6197
26.7315	0.47471
26.98983	0.40592
27.10349	0.36372
27.45481	0.28816
27.68214	0.23436
27.7958	0.22243
28.05413	0.17217
28.31245	0.14527
28.39512	0.12803
28.62244	0.10322
28.81877	0.0797
28.8911	0.07358
29.1081	0.0536
29.35609	0.04974
29.42842	0.03894
29.73841	0.02702
29.96574	0.0201
30.0794	0.01301
30.39972	0.00737
30.65805	-0.00214
30.79238	0.00221
31.13337	0.00109
31.46402	-0.00632
31.60868	-0.00423
31.99101	-0.00906
32.301	-0.01003
32.48699	-0.01116
32.94164	-0.01631
33.2723	-0.01567
33.41696	-0.01808
33.91295	-0.02646
34.2436	-0.02179
34.38827	-0.02356
34.86358	-0.02259
35.21491	-0.01728
35.38023	-0.02404
35.83489	-0.02517
36.11388	-0.02034
36.27921	-0.02582
36.66153	-0.01792
36.95085	-0.02533
37.08518	-0.02437
37.5295	-0.02002
37.81883	-0.03017
37.95315	-0.02485
38.29414	-0.02904
38.70746	-0.0292
38.90379	-0.03258
39.54444	-0.02904
39.90609	-0.02533
40.11275	-0.02485
40.54674	-0.03081
40.8774	-0.03113
41.00139	-0.02195
41.47671	-0.03001
41.77637	-0.02115
41.93136	-0.03001
42.38602	-0.02533
42.72701	-0.02469
42.87167	-0.02437
43.36765	-0.02421
43.71898	-0.02872
43.8843	-0.02018
44.40095	-0.02292
44.73161	-0.02437
44.83494	-0.02517
45.29993	-0.02179
45.64092	-0.02485
45.81658	-0.02211
46.32289	-0.02356
46.68455	-0.02662
46.84988	-0.01825
47.43886	-0.0263
47.86251	-0.01792
48.06917	-0.02147
48.76149	-0.02243
49.2988	-0.02356
49.52613	-0.01744
50.35277	-0.01986
50.95208	-0.02002
51.24141	-0.02018
52.10938	-0.01663
52.78103	-0.01841
53.06002	-0.02018
54.05199	-0.02034
54.69263	-0.02131
54.98196	-0.02163
55.88093	-0.01937
56.52158	-0.0176
56.82123	-0.02131
57.73054	-0.02469
58.29886	-0.02163
58.55718	-0.02115
59.38382	-0.01712
59.87981	-0.02147
60.1278	-0.01825
60.88211	-0.01712
61.39876	-0.01808
61.64675	-0.02082
62.27707	-0.02002
62.84538	-0.02082
63.10371	-0.02179
63.75469	-0.01873
64.261	-0.01937
64.478	-0.01502
65.22197	-0.02018
65.73862	-0.02163
65.97628	-0.01647
66.75126	-0.01808
67.28858	-0.02292
67.55723	-0.0176
68.36321	-0.02211
68.84886	-0.02259
69.12785	-0.02066
69.94416	-0.02259
70.47114	-0.02098
70.75014	-0.01921
71.58711	-0.01937
72.17609	-0.02018
72.46542	-0.01889
73.24039	-0.02356
73.73638	-0.02002
74.0257	-0.02115
74.74901	-0.02372
75.22433	-0.02002
75.53432	-0.01986
76.29896	-0.02243
76.90861	-0.01357
77.20827	-0.00987
78.15891	0.00205
78.84088	0.00479
79.15087	0.0093
80.22551	0.02219
80.77316	0.018
81.11415	0.01397
82.03378	0.00672
82.67443	-0.00165
82.96376	-0.00407
83.76973	-0.00874
84.29671	-0.00745
84.59637	-0.01132
85.41268	-0.01245
85.99133	-0.0139
86.24965	-0.01535
87.08663	-0.01051
87.63428	-0.01228
87.94427	-0.01116
88.78124	-0.01583
89.30823	-0.01825
89.61822	-0.01261
90.49652	-0.01293
